type,zone,from_station_gen,from_station_name,to_station_name,lat_long,lat_long_string,long,lat,departure,arrival,duration,number_of_halts,distance,speed,departure_days,name
Exp,SR,Chennai,Chennai Central,Tiruppattur,"12.4893810,78.5679240","12.4893810,78.5679240",78.567924,12.489381,0.746527778,0.9375,4.583333333,14,220,48,SMTWTFS,Yelagiri Express
Exp,ER,Kolkata,Kolkata Chitpur,Lalgola,"24.4166667,88.2500000","24.4166667,88.2500000",88.25,24.4166667,0.284722222,0.506944444,5.333333333,8,223,41.8,SMTWTFS,Hazarduari Express
Exp,ER,Kolkata,Kolkata Sealdah,Rampur Hat,"24.1759890,87.7858460","24.1759890,87.7858460",87.785846,24.175989,0.309027778,0.510416667,4.833333333,7,226,46.8,#NAME?,Maa Tara Express
Exp,ER,Kolkata,Kolkata Sealdah,Lalgola,"24.4166667,88.2500000","24.4166667,88.2500000",88.25,24.4166667,0.767361111,0.954861111,4.5,9,227,50.4,SMTWTFS,Bhagirathi Express
SF,SER,Kolkata,Kolkata Shalimar,Bankura,"23.1645430,87.0624261","23.1645430,87.0624261",87.0624261,23.164543,0.277777778,0.454861111,4.25,6,229,53.9,#NAME?,Rajya Rani Express
Exp,NR,Delhi,Old Delhi,Kotdwara,"29.7432940,78.5060410","29.7432940,78.5060410",78.506041,29.743294,0.305555556,0.597222222,7,11,238,34,SMTWTFS,Garhwal Express
SKr,NER,Delhi,Old Delhi,Ramnagar,"29.3947643,79.1264997","29.3947643,79.1264997",79.1264997,29.3947643,0.666666667,0.857638889,4.583333333,3,239,52.1,SMTWTFS,Uttarakhand Sampark Kranti Express Slip
Exp,NR,Delhi,Old Delhi,Ramnagar,"29.3947643,79.1264997","29.3947643,79.1264997",79.1264997,29.3947643,0.944444444,0.204861111,6.25,5,239,38.2,SMTWTFS,Ranikhet Express Slip
Exp,ER,Kolkata,Kolkata Howrah Junction,Siuri,"23.9010210,87.5359760","23.9010210,87.5359760",87.535976,23.901021,0.28125,0.486111111,4.916666667,8,241,49,SMTWTFS,Hool Express
Exp,?,Delhi,Delhi Sarai Rohilla,Kotdwara,"29.7432940,78.5060410","29.7432940,78.5060410",78.506041,29.743294,0.895833333,0.246527778,8.416666667,13,243,28.9,SMTWTFS,Mussoorie Express Slip
SF,CR,Mumbai,Mumbai Lokmanya Tilak Terminus,Manmad Junction,"20.2498245,74.4380905","20.2498245,74.4380905",74.4380905,20.2498245,0.625,0.809027778,4.416666667,8,245,55.5,SMTWTFS,Mumbai LTT- Manmad Express
SF,SER,Kolkata,Kolkata Howrah Junction,Tatanagar Junction,"22.7683344,86.2010774","22.7683344,86.2010774",86.2010774,22.7683344,0.729166667,0.892361111,3.916666667,6,250,63.8,SMTWTFS,Steel Express
SF,WR,Mumbai,Mumbai Bandra Terminus,Surat,"21.1950000,72.8194440","21.1950000,72.8194440",72.819444,21.195,0.284722222,0.465277778,4.333333333,7,252,58.2,SMTWTFS,Bandra Surat InterCity Express
Exp,NR,Delhi,New Delhi,Bareilly,"28.3670355,79.4304381","28.3670355,79.4304381",79.4304381,28.3670355,0.690972222,0.913194444,5.333333333,13,258,48.4,SMTWTFS,NewDelhi-Bareilly InterCity
