type,zone,from_station_gen,from_station_name,to_station_name,lat_long,lat_long_string,long,lat,departure,arrival,duration,number_of_halts,distance,speed,departure_days,name
Exp,NR,Delhi,Old Delhi,Attari,"31.5738889,74.1955556","31.5738889,74.1955556",74.1955556,31.5738889,0.961805556,0.302083333,8.166666667,0,472,57.8,S--W---,Delhi Attari Express
Exp,ER,Kolkata,Kolkata Chitpur,Radhikapur,"23.7246750,88.2675800","23.7246750,88.2675800",88.26758,23.724675,0.8125,0.284722222,11.33333333,14,476,42,SMTWTFS,Radhikapur Express
Exp,WR,Mumbai,Mumbai Bandra Terminus,Ahmedabad Junction,"23.0300000,72.5800000","23.0300000,72.5800000",72.58,23.03,0.819444444,0.201388889,9.166666667,20,481,52.5,SMTWTFS,Lokshakti Express
SF,NR,Delhi,Delhi Sarai Rohilla,Shri Ganganagar,"29.9167000,73.8833000","29.9167000,73.8833000",73.8833,29.9167,0.951388889,0.319444444,8.833333333,7,486,55,S-T-T--,DelhiSaraiRohilla-ShriGanganagar AC SF Express
Drnt,WR,Mumbai,Mumbai Central,Ahmedabad Junction,"23.0300000,72.5800000","23.0300000,72.5800000",72.58,23.03,0.975694444,0.25,6.583333333,0,491,74.6,-M-W-F-,Mumbai Central-Ahmedabad AC Duronto Express
Shtb,WR,Mumbai,Mumbai Central,Ahmedabad Junction,"23.0300000,72.5800000","23.0300000,72.5800000",72.58,23.03,0.267361111,0.548611111,6.75,7,491,72.7,#NAME?,Mumbai-Ahmedabad Shatabdi Express
SF,WR,Mumbai,Mumbai Central,Ahmedabad Junction,"23.0300000,72.5800000","23.0300000,72.5800000",72.58,23.03,0.569444444,0.892361111,7.75,9,491,63.4,SMTWTFS,Karnavati Express
SF,WR,Mumbai,Mumbai Central,Ahmedabad Junction,"23.0300000,72.5800000","23.0300000,72.5800000",72.58,23.03,0.951388889,0.288194444,8.083333333,3,491,60.7,S-T-T--,Mumbai Central - Ahmedabad SF Special
SF,WR,Mumbai,Mumbai Central,Ahmedabad Junction,"23.0300000,72.5800000","23.0300000,72.5800000",72.58,23.03,0.90625,0.267361111,8.666666667,12,491,56.7,SMTWTFS,Gujarat Mail
Exp,WR,Mumbai,Mumbai Central,Ahmedabad Junction,"23.0300000,72.5800000","23.0300000,72.5800000",72.58,23.03,0.239583333,0.628472222,9.333333333,22,491,52.6,SMTWTFS,Gujarat Express
Drnt,NR,Delhi,New Delhi,Lucknow,"26.8465108,80.9466832","26.8465108,80.9466832",80.9466832,26.8465108,0.979166667,0.298611111,7.666666667,0,493,64.3,S-T--F-,New Delhi-Lucknow AC Duronto Express
SF,NR,Delhi,New Delhi,Lucknow,"26.8465108,80.9466832","26.8465108,80.9466832",80.9466832,26.8465108,0.979166667,0.298611111,7.666666667,3,493,64.3,#NAME?,NewDelhi-Lucknow AC Express
SF,NR,Delhi,New Delhi,Lucknow,"26.8465108,80.9466832","26.8465108,80.9466832",80.9466832,26.8465108,0.923611111,0.28125,8.583333333,7,493,57.4,SMTWTFS,Lucknow Mail
Exp,NR,Delhi,New Delhi,Lucknow,"26.8465108,80.9466832","26.8465108,80.9466832",80.9466832,26.8465108,0.996527778,0.40625,9.833333333,2,493,50.1,-M-W-F-,New Delhi-Lucknow tri-weekly Special
Exp,NR,Delhi,Old Delhi,Pathankot,"32.2706402,75.6425537","32.2706402,75.6425537",75.6425537,32.2706402,0.923611111,0.333333333,9.833333333,16,496,50.4,-M-W-F-,Dhauladhar Express
Drnt,SR,Chennai,Chennai Central,Coimbatore Main Junction,"11.1123263,76.9359764","11.1123263,76.9359764",76.9359764,11.1123263,0.284722222,0.5625,6.666666667,0,497,74.6,SM-WTFS,Chennai Central-Coimbatore AC Duronto Express
SF,SR,Chennai,Chennai Central,Coimbatore Main Junction,"11.1123263,76.9359764","11.1123263,76.9359764",76.9359764,11.1123263,0.260416667,0.579861111,7.666666667,9,497,64.8,SMTWTFS,Kovai Express
SF,SR,Chennai,Chennai Central,Coimbatore Main Junction,"11.1123263,76.9359764","11.1123263,76.9359764",76.9359764,11.1123263,0.604166667,0.927083333,7.75,10,497,64.1,SMTWTFS,ChennaiCentral-Coimbatore InterCity
SF,SR,Chennai,Chennai Central,Coimbatore Main Junction,"11.1123263,76.9359764","11.1123263,76.9359764",76.9359764,11.1123263,0.923611111,0.256944444,8,6,497,62.1,SMTWTFS,Cheran Express
SF,SR,Chennai,Chennai Egmore,Madurai Junction,"9.9177100,78.1116300","9.9177100,78.1116300",78.11163,9.91771,0.53125,0.868055556,8.083333333,8,497,61.5,SMTWTFS,Vaigai Express
SF,SR,Chennai,Chennai Central,Coimbatore Main Junction,"11.1123263,76.9359764","11.1123263,76.9359764",76.9359764,11.1123263,0.9375,0.284722222,8.333333333,5,497,59.6,#NAME?,Chennai-Coimbatore Express
SF,SR,Chennai,Chennai Egmore,Madurai Junction,"9.9177100,78.1116300","9.9177100,78.1116300",78.11163,9.91771,0.885416667,0.260416667,9,9,497,55.2,SMTWTFS,Pandiyan Express
Exp,CR,Mumbai,Mumbai CST,"Daund Junction, Maharashtra","18.4630556,74.5788889","18.4630556,74.5788889",74.5788889,18.4630556,0.878472222,0.496527778,14.83333333,30,497,33.5,SMTWTFS,Mumbai -Daund Devagiri Express Slip
Shtb,SR,Chennai,Chennai Central,Mysore Junction,"12.9016746,77.4684458","12.9016746,77.4684458",77.4684458,12.9016746,0.25,0.541666667,7,1,500,71.4,SMT-TFS,Chennai-Mysore Shatabdi
SF,SER,Kolkata,Kolkata Shalimar,Puri,"19.8133822,85.8314655","19.8133822,85.8314655",85.8314655,19.8133822,0.875,0.246527778,8.916666667,9,500,56.1,---W---,Shalimar-Puri Express
SF,SWR,Chennai,Chennai Central,Mysore Junction,"12.9016746,77.4684458","12.9016746,77.4684458",77.4684458,12.9016746,0.979166667,0.357638889,9.083333333,9,500,55,----T--,Chennai-Mysore SF Express
Exp,SWR,Chennai,Chennai Central,Mysore Junction,"12.9016746,77.4684458","12.9016746,77.4684458",77.4684458,12.9016746,0.895833333,0.333333333,10.5,23,500,47.6,SMTWTFS,Kaveri Express
Drnt,ECoR,Kolkata,Kolkata Howrah Junction,Puri,"19.8133822,85.8314655","19.8133822,85.8314655",85.8314655,19.8133822,0.600694444,0.902777778,7.25,0,502,69.2,SMTWTFS,Howrah Puri Duronto Express
SF,SER,Kolkata,Kolkata Howrah Junction,Puri,"19.8133822,85.8314655","19.8133822,85.8314655",85.8314655,19.8133822,0.25,0.604166667,8.5,10,502,59.1,SMTWTFS,Dhauli Express
SF,SER,Kolkata,Kolkata Howrah Junction,Puri,"19.8133822,85.8314655","19.8133822,85.8314655",85.8314655,19.8133822,0.940972222,0.3125,8.916666667,12,502,56.3,SMTWTFS,Howrah-Puri Express
SF,SER,Kolkata,Kolkata Howrah Junction,Puri,"19.8133822,85.8314655","19.8133822,85.8314655",85.8314655,19.8133822,0.871527778,0.246527778,9,8,502,55.8,-----F-,Kolkata-Puri Express
SF,SER,Kolkata,Kolkata Howrah Junction,Puri,"19.8133822,85.8314655","19.8133822,85.8314655",85.8314655,19.8133822,0.871527778,0.246527778,9,8,502,55.8,-M-----,Howrah-Puri Express
GR,SER,Kolkata,Kolkata Howrah Junction,Puri,"19.8133822,85.8314655","19.8133822,85.8314655",85.8314655,19.8133822,0.871527778,0.246527778,9,7,502,55.8,--T-T--,Howrah Puri Garib Rath
Exp,ECoR,Kolkata,Kolkata Howrah Junction,Puri,"19.8133822,85.8314655","19.8133822,85.8314655",85.8314655,19.8133822,0.791666667,0.194444444,9.666666667,18,502,51.9,SMTWTFS,Sri Jagannath Express
SF,NR,Delhi,New Delhi,Lucknow,"26.8465108,80.9466832","26.8465108,80.9466832",80.9466832,26.8465108,0.260416667,0.520833333,6.25,4,511,81.8,SMTWTFS,NewDelh-Lucknowi Swarn Shatabdi Express
SF,NR,Delhi,New Delhi,Lucknow,"26.8465108,80.9466832","26.8465108,80.9466832",80.9466832,26.8465108,0.527777778,0.892361111,8.75,10,511,58.4,SMTWTFS,Gomti Express
Exp,CR,Mumbai,Mumbai CST,Shahu Maharaj Terminus,"16.7024706,74.2379246","16.7024706,74.2379246",74.2379246,16.7024706,0.849305556,0.305555556,10.95,16,518,47.3,SMTWTFS,Mahalaxmi Express
Exp,CR,Mumbai,Mumbai CST,Shahu Maharaj Terminus,"16.7024706,74.2379246","16.7024706,74.2379246",74.2379246,16.7024706,0.361111111,0.850694444,11.75,33,518,44.1,SMTWTFS,Koyna Express
Exp,CR,Mumbai,Mumbai CST,Shahu Maharaj Terminus,"16.7024706,74.2379246","16.7024706,74.2379246",74.2379246,16.7024706,0.743055556,0.253472222,12.25,26,518,42.3,SMTWTFS,Sahyadri Express
SF,SR,Chennai,Chennai Central,Puttaparthi,"14.1675000,77.8113889","14.1675000,77.8113889",77.8113889,14.1675,0.979166667,0.388888889,9.833333333,9,529,53.8,-----F-,Chennai-Sri Satya Sai Prasanti Nilayam SF Express
SF,CR,Mumbai,Mumbai CST,Latur,"18.3976800,76.5809710","18.3976800,76.5809710",76.580971,18.39768,0.875,0.270833333,9.5,9,530,55.8,SMTWTFS,Mumbai CST-Latur Superfast Express.
JShtb,ECR,Kolkata,Kolkata Howrah Junction,Patna Junction,"25.6035902,85.1366123","25.6035902,85.1366123",85.1366123,25.6035902,0.586805556,0.927083333,8.166666667,12,532,65.1,#NAME?,Howrah-Patna Jan Shatabdi
SF,SR,Chennai,Chennai Central,Mettupalayam,"11.2992899,76.9352420","11.2992899,76.9352420",76.935242,11.2992899,0.875,0.260416667,9.25,7,532,57.5,SMTWTFS,Nilgiri (Blue Mountain) Express
GR,ER,Kolkata,Kolkata Chitpur,Patna Junction,"25.6035902,85.1366123","25.6035902,85.1366123",85.1366123,25.6035902,0.833333333,0.229166667,9.5,11,534,56.2,#NAME?,Kolkata Chitpur Patna Garib Rath Express
Exp,ECR,Kolkata,Kolkata Howrah Junction,Darbhanga Junction,"26.1573879,85.9071330","26.1573879,85.9071330",85.907133,26.1573879,0.461805556,0.927083333,11.16666667,9,536,48,#NAME?,Howrah-Darbhanga Express
Exp,ECR,Kolkata,Kolkata Chitpur,Darbhanga Junction,"26.1573879,85.9071330","26.1573879,85.9071330",85.907133,26.1573879,0.444444444,0.927083333,11.58333333,6,539,46.5,-M--T--,Maithili Express
SF,ER,Kolkata,Kolkata Howrah Junction,Danapur,"25.6358110,85.0465160","25.6358110,85.0465160",85.046516,25.635811,0.857638889,0.277777778,10.08333333,23,541,53.7,SMTWTFS,Howrah- Danapur Express
Exp,ER,Kolkata,Kolkata Chitpur,Jogbani,"26.3962182,87.2593454","26.3962182,87.2593454",87.2593454,26.3962182,0.871527778,0.46875,14.33333333,9,542,37.8,-M-W-F-,Kolkata - Jogbani (Triweekly) Express
Exp,NER,Kolkata,Kolkata Howrah Junction,Muzaffarpur Junction,"26.1222744,85.3778841","26.1222744,85.3778841",85.3778841,26.1222744,0.46875,0.951388889,11.58333333,10,549,47.4,---W---,Howrah-Muzaffarpur JanSadharan Express
Exp,ER,Kolkata,Kolkata Chitpur,Darbhanga Junction,"26.1573879,85.9071330","26.1573879,85.9071330",85.907133,26.1573879,0.871527778,0.381944444,12.25,11,552,45.1,S---T--,Mithilanchal Express
Exp,ER,Kolkata,Kolkata Howrah Junction,Rajgir,"25.0300000,85.4200000","25.0300000,85.4200000",85.42,25.03,0.847222222,0.506944444,15.83333333,35,552,34.9,SMTWTFS,Howrah-Rajgir Express Slip
Exp,NR,Delhi,Old Delhi,Pathankot,"32.2706402,75.6425537","32.2706402,75.6425537",75.6425537,32.2706402,0.333333333,0.75,10,11,554,55.4,S-T--F-,Delhi-Pathankot Express
SF,SR,Chennai,Chennai Egmore,Madurai Junction,"9.9177100,78.1116300","9.9177100,78.1116300",78.11163,9.91771,0.947916667,0.368055556,10.08333333,9,561,55.6,S----F-,Chennai Egmore Madurai BI-Weekly Superfast Express
Exp,ER,Kolkata,Kolkata Chitpur,Muzaffarpur Junction,"26.1222744,85.3778841","26.1222744,85.3778841",85.3778841,26.1222744,0.871527778,0.385416667,12.33333333,11,566,45.9,--T----,Tirhut Express
SF,ER,Kolkata,Kolkata Sealdah,"New Jalpaiguri, West Bengal","26.5501631,88.7049705","26.5501631,88.7049705",88.7049705,26.5501631,0.920138889,0.333333333,9.916666667,4,567,57.2,SMTWTFS,Darjeeling Mail
SF,ER,Kolkata,Kolkata Sealdah,"New Jalpaiguri, West Bengal","26.5501631,88.7049705","26.5501631,88.7049705",88.7049705,26.5501631,0.954861111,0.378472222,10.16666667,5,567,55.8,SMTWTFS,Padatik Express
Raj,NR,Delhi,New Delhi,Jammu Tawi,"33.3773471,74.3107212","33.3773471,74.3107212",74.3107212,33.3773471,0.861111111,0.236111111,9,3,577,64.1,SMTWTFS,Jammu Rajdhani Express
Drnt,NR,Delhi,Delhi Sarai Rohilla,Jammu Tawi,"33.3773471,74.3107212","33.3773471,74.3107212",74.3107212,33.3773471,0.927083333,0.298611111,8.916666667,0,578,64.8,S-T--F-,Delhi Sarai Rohilla Jammu Tawi Duronto Express
Exp,ER,Kolkata,Kolkata Sealdah,"Saharsa Junction, Patna","25.6104600,85.1416670","25.6104600,85.1416670",85.141667,25.61046,0.840277778,0.510416667,16.08333333,28,589,36.6,SMTWTFS,Hatey Bazare Express
Exp,SR,Chennai,Chennai Egmore,Rameswaram,"9.2876254,79.3129291","9.2876254,79.3129291",79.3129291,9.2876254,0.708333333,0.197916667,11.75,16,600,51.1,SMTWTFS,Setu Express
SKr,NCR,Delhi,Delhi Hazrat Nizamuddin,Khajuraho,"24.8318452,79.9198549","24.8318452,79.9198549",79.9198549,24.8318452,0.84375,0.274305556,10.33333333,7,604,58.5,S-T-TFS,Nizamuddin KhajurahoLink Express Slip
Exp,SCR,Mumbai,Mumbai CST,Huzur Sahib Nanded,"19.1528647,77.3186221","19.1528647,77.3186221",77.3186221,19.1528647,0.256944444,0.746527778,11.75,18,610,51.9,SMTWTFS,Tapovan Express
Exp,NR,Delhi,Old Delhi,"Faizabad, Uttar Pradesh","26.7793470,82.1421590","26.7793470,82.1421590",82.142159,26.779347,0.777777778,0.305555556,12.66666667,7,615,48.6,SMTWTFS,Delhi-Faizabad Express
SKr,NR,Delhi,Delhi Sarai Rohilla,Jodhpur Junction,"26.4902597,72.6718944","26.4902597,72.6718944",72.6718944,26.4902597,0.934027778,0.34375,9.833333333,7,616,62.6,S--W-F-,Rajasthan Sampark Kranti Express
SF,NR,Delhi,Old Delhi,Jodhpur Junction,"26.4902597,72.6718944","26.4902597,72.6718944",72.6718944,26.4902597,0.871527778,0.3125,10.58333333,16,620,58.6,SMTWTFS,Mandore Express
SF,ER,Kolkata,Kolkata Chitpur,Haldibari,"26.3461060,88.9054570","26.3461060,88.9054570",88.905457,26.346106,0.378472222,0.850694444,11.33333333,7,620,54.7,#NAME?,Kolkata Haldibari SF Express
SF,NR,Delhi,Delhi Sarai Rohilla,Jodhpur Junction,"26.4902597,72.6718944","26.4902597,72.6718944",72.6718944,26.4902597,0.934027778,0.381944444,10.75,14,622,57.9,-M--T--,Delhi Sarai Rohilla-Jodhpur Express
Exp,ER,Kolkata,Kolkata Sealdah,"Jaynagar, Bihar","26.5852483,86.1293792","26.5852483,86.1293792",86.1293792,26.5852483,0.652777778,0.329861111,16.25,20,624,38.4,SMTWTFS,Ganga Sagar Express
Mail,ER,Kolkata,Kolkata Sealdah,Haldibari,"26.3461060,88.9054570","26.3461060,88.9054570",88.905457,26.346106,0.920138889,0.642361111,17.33333333,10,624,36,SMTWTFS,Darjeeling Mail Slip
Exp,ER,Kolkata,Kolkata Sealdah,Haldibari,"26.3461060,88.9054570","26.3461060,88.9054570",88.905457,26.346106,0.569444444,0.211805556,15.41666667,27,628,40.7,S-TWTFS,Testa Torsa Express Slip
SKr,NR,Delhi,New Delhi,Udhampur,"32.9189300,75.1312710","32.9189300,75.1312710",75.131271,32.91893,0.868055556,0.336805556,11.25,8,630,56,SMTWTFS,Uttar Sampark Kranti Express
Exp,NR,Delhi,Delhi Anand Vihar Terminus,Jammu Tawi,"33.3773471,74.3107212","33.3773471,74.3107212",74.3107212,33.3773471,0.96875,0.493055556,12.58333333,7,633,50.3,#NAME?,Anand Vihar T.-Jammu Tawi Special
Drnt,NCR,Delhi,New Delhi,Allahabad Junction,"25.4004598,81.5807583","25.4004598,81.5807583",81.5807583,25.4004598,0.958333333,0.263888889,7.333333333,0,634,86.5,S--W-F-,New Delhi-Allahabad Duronto Express
SF,NCR,Delhi,New Delhi,Allahabad Junction,"25.4004598,81.5807583","25.4004598,81.5807583",81.5807583,25.4004598,0.892361111,0.28125,9.333333333,5,634,67.9,SMTWTFS,Prayagraj Express
Mail,NR,Delhi,Old Delhi,Udhampur,"32.9189300,75.1312710","32.9189300,75.1312710",75.131271,32.91893,0.847222222,0.486111111,15.33333333,27,637,41.5,SMTWTFS,Jammu Mail
Exp,NR,Delhi,Old Delhi,Jammu Tawi,"33.3773471,74.3107212","33.3773471,74.3107212",74.3107212,33.3773471,0.659722222,0.21875,13.41666667,27,640,47.7,SMTWTFS,Shalimar Express
Exp,NR,Delhi,Old Delhi,Sultanpur,"26.2647757,82.0727061","26.2647757,82.0727061",82.0727061,26.2647757,0.680555556,0.256944444,13.83333333,13,645,46.6,#NAME?,Sadbhavna Express
Exp,CR,Mumbai,Mumbai Dadar Central,Sawantwadi Road,"15.9303813,74.2650501","15.9303813,74.2650501",74.2650501,15.9303813,0.996527778,0.454861111,11,19,646,58.7,SMTWTFS,Dadar - Sawantwadi Road Rajya Rani Express
SF,SR,Chennai,Chennai Egmore,Tirunelveli Junction,"8.7368103,77.7137306","8.7368103,77.7137306",77.7137306,8.7368103,0.868055556,0.354166667,11.66666667,13,653,56,SMTWTFS,Nellai Express
Exp,ER,Kolkata,Kolkata Howrah Junction,Gaya Junction,"24.8042298,84.9996294","24.8042298,84.9996294",84.9996294,24.8042298,0.826388889,0.454861111,15.08333333,29,654,43.4,SMTWTFS,Howrah-Gaya Express
SF,SR,Chennai,Chennai Egmore,Tuticorin,"8.7641661,78.1348361","8.7641661,78.1348361",78.1348361,8.7641661,0.815972222,0.3125,11.91666667,20,656,55,SMTWTFS,Pearl City Express
Exp,NR,Delhi,Old Delhi,Partapgarh Junction,"25.9129855,82.0013882","25.9129855,82.0013882",82.0013882,25.9129855,0.826388889,0.347222222,12.5,11,660,52.8,SMTWTFS,Padmavat Express
SF,NFR,Kolkata,Kolkata Howrah Junction,Sambalpur Junction,"21.4662219,83.9751640","21.4662219,83.9751640",83.975164,21.4662219,0.871527778,0.340277778,11.25,8,661,58.8,#NAME?,Howrah- Sambalpur Express
Exp,SR,Chennai,Chennai Egmore,Rameswaram,"9.2876254,79.3129291","9.2876254,79.3129291",79.3129291,9.2876254,0.902777778,0.489583333,14.08333333,21,665,47.2,SMTWTFS,Chennai Egmore-Rameshwaram Express
SF,SR,Chennai,Chennai Egmore,Sengottai,"8.9764820,77.2493180","8.9764820,77.2493180",77.249318,8.976482,0.836805556,0.34375,12.16666667,16,670,55.1,SMTWTFS,Pothigai Express
SF,CR,Mumbai,Mumbai CST,Amravati,"20.9258333,77.7647222","20.9258333,77.7647222",77.7647222,20.9258333,0.836805556,0.34375,12.16666667,12,673,55.3,SMTWTFS,Mumbai CST-Amaravati SF Express
SF,NWR,Delhi,Delhi Sarai Rohilla,Udaipur City,"24.5712699,73.6915439","24.5712699,73.6915439",73.6915439,24.5712699,0.819444444,0.326388889,12.16666667,15,673,55.3,SMTWTFS,Chetak Express
Exp,ER,Kolkata,Kolkata Sealdah,Ballia,"25.3994444,86.3552778","25.3994444,86.3552778",86.3552778,25.3994444,0.559027778,0.256944444,16.75,27,679,40.5,SMTWTFS,Sealdah-Ballia Express
SKr,NR,Delhi,Delhi Sarai Rohilla,Bikaner Junction,"28.0145575,73.3159695","28.0145575,73.3159695",73.3159695,28.0145575,0.940972222,0.440972222,12,9,685,57.1,S--W-F-,Rajasthan Sampark Kranti Express Slip
Exp,ER,Kolkata,Kolkata Sealdah,New Cooch Behar,"26.3490445,89.4659462","26.3490445,89.4659462",89.4659462,26.3490445,0.815972222,0.392361111,13.83333333,18,693,50.1,SMTWTFS,Uttar Banga Express
Exp,ER,Kolkata,Kolkata Howrah Junction,Raxaul Junction,"26.9868646,84.8447217","26.9868646,84.8447217",84.8447217,26.9868646,0.65625,0.354166667,16.75,40,693,41.4,SMTWTFS,Mithila Express
SKr,NR,Delhi,Delhi Hazrat Nizamuddin,"Manikpur, Uttar Pradesh","25.0616300,81.0898130","25.0616300,81.0898130",81.089813,25.06163,0.84375,0.357638889,12.33333333,10,695,56.4,SMT-TFS,UP Sampark Kranti Express
SF,WCR,Delhi,Delhi Hazrat Nizamuddin,Bhopal HabibGanj,"23.6568100,77.3743550","23.6568100,77.3743550",77.374355,23.65681,0.875,0.295138889,10.08333333,8,700,69.4,SMTWTFS,Shaan E Bhopal SF Express
Shtb,NR,Delhi,New Delhi,Bhopal Junction,"22.6864393,77.2744471","22.6864393,77.2744471",77.2744471,22.6864393,0.260416667,0.586805556,7.833333333,5,701,89.5,SMTWTFS,New Delhi-Bhopal Shatabdi Express
Exp,SCR,Chennai,Chennai Egmore,Kakinada Port,"16.9473585,82.2625070","16.9473585,82.2625070",82.262507,16.9473585,0.722222222,0.402777778,16.33333333,31,702,43,SMTWTFS,Circar Express
SF,SR,Chennai,Chennai Central,Hyderabad Deccan Nampally,"17.3836400,78.4669640","17.3836400,78.4669640",78.466964,17.38364,0.697916667,0.239583333,13,20,715,55,SMTWTFS,Chennai - Hyderabad Express
Exp,ER,Kolkata,Kolkata Sealdah,New Alipurduar,"26.4920663,89.5265921","26.4920663,89.5265921",89.5265921,26.4920663,0.569444444,0.302083333,17.58333333,32,716,40.7,SMTWTFS,Testa Torsa Express
SF,SR,Chennai,Chennai Egmore,Nagercoil Junction,"8.1746848,77.4440221","8.1746848,77.4440221",77.4440221,8.1746848,0.784722222,0.340277778,13.33333333,9,727,54.5,----T--,Chennai Egmore Nagercoil (Weekly) Superfast Expres
Exp,ER,Kolkata,Kolkata Sealdah,Alipur Duar Junction,"26.5253080,89.5435500","26.5253080,89.5435500",89.54355,26.525308,0.854166667,0.506944444,15.66666667,23,735,46.9,SMTWTFS,Kanchan Kanya Express
SF,SR,Chennai,Chennai Egmore,Kanniyakumari,"8.0883064,77.5384507","8.0883064,77.5384507",77.5384507,8.0883064,0.729166667,0.284722222,13.33333333,15,742,55.7,SMTWTFS,Chennai Egmore Kanyakumari Superfast Express
SF,WR,Delhi,Delhi Hazrat Nizamuddin,Udaipur City,"24.5712699,73.6915439","24.5712699,73.6915439",73.6915439,24.5712699,0.795138889,0.305555556,12.25,13,743,60.7,SMTWTFS,Mewar Express
SF,SER,Kolkata,Kolkata Howrah Junction,Titlagarh,"20.2880490,83.1546080","20.2880490,83.1546080",83.154608,20.288049,0.288194444,0.847222222,13.41666667,27,745,55.5,SMTWTFS,Ispat Express
Exp,SR,Chennai,Chennai Central,Alappuzha,"9.4980667,76.3388484","9.4980667,76.3388484",76.3388484,9.4980667,0.885416667,0.447916667,13.5,22,746,55.3,SMTWTFS,Chennai- Alapuzha Alleppey Express
SF,NER,Delhi,New Delhi,Varanasi Junction,"25.3262612,82.9862058","25.3262612,82.9862058",82.9862058,25.3262612,0.78125,0.3125,12.75,3,758,59.5,SMTWTFS,Shiv Ganga Express
JShtb,KR,Mumbai,Mumbai CST,Madgaon Junction,"15.2719444,73.9583333","15.2719444,73.9583333",73.9583333,15.2719444,0.215277778,0.590277778,9,8,765,85,SMTWTFS,Mumbai Madgaon Jan Shatabdi Express
Exp,KR,Mumbai,Mumbai CST,Madgaon Junction,"15.2719444,73.9583333","15.2719444,73.9583333",73.9583333,15.2719444,0.961805556,0.447916667,11.66666667,18,765,65.6,SMTWTFS,Konkan Kanya Express
Exp,KR,Mumbai,Mumbai CST,Madgaon Junction,"15.2719444,73.9583333","15.2719444,73.9583333",73.9583333,15.2719444,0.288194444,0.78125,11.83333333,18,765,64.6,SMTWTFS,Mandovi Express
Exp,NR,Delhi,Old Delhi,Varanasi Junction,"25.3262612,82.9862058","25.3262612,82.9862058",82.9862058,25.3262612,0.8125,0.447916667,15.25,4,770,50.5,S-T-T--,Delhi Jn. -Varanasi Special
Exp,SCR,Chennai,Chennai Egmore,Hyderabad Kacheguda,"17.3892903,78.4965043","17.3892903,78.4965043",78.4965043,17.3892903,0.708333333,0.329861111,14.91666667,16,772,51.8,SMTWTFS,Chennai Egmore Kacheguda Express
Drnt,SCR,Mumbai,Mumbai Lokmanya Tilak Terminus,Secunderabad Junction,"17.4332580,78.5022280","17.4332580,78.5022280",78.502228,17.433258,0.961805556,0.461805556,12,0,773,64.4,#NAME?,Lokmanya Tilak (T)-Secunderabad AC Duronto Express
SF,WR,Mumbai,Mumbai Bandra Terminus,Bhavnagar Terminus,"21.7819741,72.1412430","21.7819741,72.1412430",72.141243,21.7819741,0.892361111,0.479166667,14.08333333,17,778,55.2,SMTWTFS,Bhavnagar Express
Exp,SR,Chennai,Chennai Egmore,Tiruchendur,"8.4955850,78.1191870","8.4955850,78.1191870",78.119187,8.495585,0.670138889,0.333333333,15.91666667,24,779,48.9,SMTWTFS,Chendhur Express
GR,NR,Delhi,Delhi Anand Vihar Terminus,Varanasi Junction,"25.3262612,82.9862058","25.3262612,82.9862058",82.9862058,25.3262612,0.756944444,0.336805556,13.91666667,7,781,56.1,-M-W-F-,Delhi Anand Vihar Terminus-Varanasi Garib Rath
SF,SCR,Chennai,Chennai Central,Hyderabad Deccan Nampally,"17.3836400,78.4669640","17.3836400,78.4669640",78.466964,17.38364,0.756944444,0.333333333,13.83333333,15,790,57.1,SMTWTFS,Charminar Express
SF,SCR,Mumbai,Mumbai CST,Hyderabad Deccan Nampally,"17.3836400,78.4669640","17.3836400,78.4669640",78.466964,17.38364,0.909722222,0.506944444,14.33333333,14,790,55.1,SMTWTFS,Hussain Sagar Express
Exp,SCR,Mumbai,Mumbai CST,Hyderabad Deccan Nampally,"17.3836400,78.4669640","17.3836400,78.4669640",78.466964,17.38364,0.53125,0.246527778,17.16666667,23,790,46,SMTWTFS,Mumbai CST-Hyderabad Express
Exp,NR,Delhi,New Delhi,Varanasi Junction,"25.3262612,82.9862058","25.3262612,82.9862058",82.9862058,25.3262612,0.486111111,0.197916667,17.08333333,32,794,46.5,SMTWTFS,Kashi Vishwanath Express
Exp,SR,Chennai,Chennai Egmore,Trivandrum Central,"8.5339492,76.9898676","8.5339492,76.9898676",76.9898676,8.5339492,0.802083333,0.461805556,15.83333333,25,798,50.4,SMTWTFS,Anantapuri Express
SF,NER,Delhi,Old Delhi,Azamgarh,"26.0737044,83.1859458","26.0737044,83.1859458",83.1859458,26.0737044,0.805555556,0.395833333,14.16666667,13,803,56.7,SMTWTFS,Kaifiat Express
Exp,WR,Mumbai,Mumbai Bandra Terminus,Jamnagar,"22.4707019,70.0577300","22.4707019,70.0577300",70.05773,22.4707019,0.732638889,0.395833333,15.91666667,28,812,51,SMTWTFS,Saurashtra Janata Express
SF,NR,Delhi,Delhi Hazrat Nizamuddin,Indore Junction BG,"22.7195687,75.8577258","22.7195687,75.8577258",75.8577258,22.7195687,0.927083333,0.496527778,13.66666667,17,817,59.8,SMTWTFS,Nizamuddin-Indore Express
SF,CR,Mumbai,Mumbai Lokmanya Tilak Terminus,Bhopal HabibGanj,"23.6568100,77.3743550","23.6568100,77.3743550",77.374355,23.65681,0.684027778,0.229166667,13.08333333,8,822,62.8,----T--,Lokmanya Tilak (T) Habibganj Express
